time,ball1_x,ball1_y,ball2_x,ball2_y,ball3_x,ball3_y,ball4_x,ball4_y,ball5_x,ball5_y
1.0,178.55,107.4,219.87,89.74,119.74,109.26,439.96,151.03,157.13,383.32
1.5,178.54,107.09,220.19,89.41,119.93,109.25,440.23,151.37,156.67,382.86
2.0,178.53,106.77,220.51,89.09,120.12,109.23,440.51,151.7,156.21,382.4
2.5,178.53,106.45,220.83,88.76,120.32,109.21,440.79,152.04,155.76,381.93
3.0,178.52,106.13,221.15,88.43,120.51,109.2,441.07,152.37,155.3,381.47
3.5,178.51,105.82,221.47,88.11,120.7,109.18,441.34,152.71,154.84,381.01
4.0,178.5,105.5,221.79,87.78,120.9,109.16,441.62,153.04,154.38,380.55
4.5,178.49,105.18,222.11,87.45,121.09,109.15,441.9,153.38,153.92,380.09
5.0,178.48,104.87,222.43,87.12,121.29,109.13,442.17,153.71,153.47,379.62
5.5,178.47,104.55,222.75,86.8,121.48,109.11,442.45,154.05,153.01,379.16
6.0,178.47,104.23,223.07,86.47,121.67,109.09,442.73,154.38,152.55,378.7
6.5,178.46,103.92,223.39,86.14,121.87,109.08,443.0,154.72,152.09,378.24
7.0,178.45,103.6,223.71,85.82,122.06,109.06,443.28,155.05,151.63,377.77
7.5,178.44,103.28,224.03,85.49,122.26,109.04,443.56,155.39,151.18,377.31
8.0,178.43,102.97,224.34,85.16,122.45,109.03,443.84,155.72,150.72,376.85
8.5,178.42,102.65,224.66,84.84,122.64,109.01,444.11,156.06,150.26,376.39
9.0,178.41,102.33,224.98,84.51,122.84,108.99,444.39,156.39,149.8,375.92
9.5,178.41,102.01,225.3,84.18,123.03,108.97,444.67,156.73,149.34,375.46
10.0,178.4,101.7,225.62,83.85,123.23,108.96,444.94,157.06,148.89,375.0
10.5,178.39,101.38,225.94,83.53,123.42,108.94,445.22,157.4,148.43,374.54
11.0,178.38,101.06,226.26,83.2,123.61,108.92,445.5,157.73,147.97,374.08
11.5,178.37,100.75,226.58,82.87,123.81,108.91,445.77,158.07,147.51,373.61
12.0,178.36,100.43,226.9,82.55,124.0,108.89,446.05,158.4,147.06,373.15
12.5,178.36,100.11,227.22,82.22,124.2,108.87,446.33,158.74,146.6,372.69
13.0,178.35,99.8,227.54,81.89,124.39,108.85,446.61,159.07,146.14,372.23
13.5,178.34,99.48,227.86,81.57,124.58,108.84,446.88,159.41,145.68,371.76
14.0,178.33,99.16,228.18,81.24,124.78,108.82,447.16,159.74,145.22,371.3
14.5,178.32,98.85,228.5,80.91,124.97,108.8,447.44,160.08,144.77,370.84
15.0,178.31,98.53,228.82,80.58,125.16,108.79,447.71,160.41,144.31,370.38
15.5,178.3,98.21,229.13,80.26,125.36,108.77,447.99,160.75,143.85,369.91
16.0,178.3,97.9,229.45,79.93,125.55,108.75,448.27,161.08,143.39,369.45
16.5,178.29,97.58,229.77,79.6,125.75,108.73,448.54,161.42,142.93,368.99
17.0,178.28,97.26,230.09,79.28,125.94,108.72,448.82,161.75,142.48,368.53
17.5,178.27,96.94,230.41,78.95,126.13,108.7,449.1,162.09,142.02,368.07
18.0,178.26,96.63,230.73,78.62,126.33,108.68,449.38,162.42,141.56,367.6
18.5,178.25,96.31,231.05,78.3,126.52,108.67,449.65,162.76,141.1,367.14
19.0,178.24,95.99,231.37,77.97,126.72,108.65,449.93,163.09,140.64,366.68
19.5,178.24,95.68,231.69,77.64,126.91,108.63,450.21,163.43,140.19,366.22
20.0,178.23,95.36,232.01,77.31,127.1,108.62,450.48,163.76,139.73,365.75
20.5,178.22,95.04,232.33,76.99,127.3,108.6,450.76,164.1,139.27,365.29
21.0,178.21,94.73,232.65,76.66,127.49,108.58,451.04,164.43,138.81,364.83
21.5,178.2,94.41,232.97,76.33,127.69,108.56,451.31,164.77,138.35,364.37
22.0,178.19,94.09,233.29,76.01,127.88,108.55,451.59,165.1,137.9,363.9
22.5,178.19,93.78,233.6,75.68,128.07,108.53,451.87,165.44,137.44,363.44
23.0,178.18,93.46,233.92,75.35,128.27,108.51,452.15,165.77,136.98,362.98
23.5,178.17,93.14,234.24,75.03,128.46,108.5,452.42,166.11,136.52,362.52
24.0,178.16,92.82,234.56,74.7,128.65,108.48,452.7,166.44,136.07,362.06
24.5,178.15,92.51,234.88,74.37,128.85,108.46,452.98,166.78,135.61,361.59
25.0,178.14,92.19,235.2,74.04,129.04,108.44,453.25,167.11,135.15,361.13
25.5,178.13,91.87,235.52,73.72,129.24,108.43,453.53,167.45,134.69,360.67
26.0,178.13,91.56,235.84,73.39,129.43,108.41,453.81,167.78,134.23,360.21
26.5,178.12,91.24,236.16,73.06,129.62,108.39,454.08,168.12,133.78,359.74
27.0,178.11,90.92,236.48,72.74,129.82,108.38,454.36,168.45,133.32,359.28
27.5,178.1,90.61,236.8,72.41,130.01,108.36,454.64,168.79,132.86,358.82
28.0,178.09,90.29,237.12,72.08,130.21,108.34,454.92,169.12,132.4,358.36
28.5,178.08,89.97,237.44,71.76,130.4,108.32,455.19,169.46,131.94,357.89
29.0,178.07,89.66,237.76,71.43,130.59,108.31,455.47,169.79,131.49,357.43
29.5,178.07,89.34,238.07,71.1,130.79,108.29,455.75,170.13,131.03,356.97
30.0,178.06,89.02,238.39,70.77,130.98,108.27,456.02,170.46,130.57,356.51
30.5,178.05,88.7,238.71,70.45,131.18,108.26,456.3,170.8,130.11,356.05
31.0,178.04,88.39,239.03,70.12,131.37,108.24,456.58,171.13,129.65,355.58
31.5,178.03,88.07,239.35,69.79,131.56,108.22,456.85,171.47,129.2,355.12
32.0,178.02,87.75,239.67,69.47,131.76,108.2,457.13,171.8,128.74,354.66
32.5,178.02,87.44,239.99,69.14,131.95,108.19,457.41,172.14,128.28,354.2
33.0,178.01,87.12,240.31,68.81,132.14,108.17,457.69,172.47,127.82,353.73
33.5,178.0,86.8,240.63,68.49,132.34,108.15,457.96,172.81,127.37,353.27
34.0,177.99,86.49,240.95,68.16,132.53,108.14,458.24,173.14,126.91,352.81
34.5,177.98,86.17,241.27,67.83,132.73,108.12,458.52,173.48,126.45,352.35
35.0,177.97,85.85,241.59,67.5,132.92,108.1,458.79,173.81,125.99,351.89
35.5,177.96,85.54,241.91,67.18,133.11,108.09,459.07,174.15,125.53,351.42
36.0,177.96,85.22,242.23,66.85,133.31,108.07,459.35,174.48,125.08,350.96
36.5,177.95,84.9,242.54,66.52,133.5,108.05,459.62,174.82,124.62,350.5
37.0,177.94,84.59,242.86,66.2,133.7,108.03,459.9,175.15,124.16,350.04
37.5,177.93,84.27,243.18,65.87,133.89,108.02,460.18,175.49,123.7,349.57
38.0,177.92,83.95,243.5,65.54,134.08,108.0,460.46,175.82,123.24,349.11
38.5,177.91,83.63,243.82,65.22,134.28,107.98,460.73,176.16,122.79,348.65
39.0,177.9,83.32,244.14,64.89,134.47,107.97,461.01,176.49,122.33,348.19
39.5,177.9,83.0,244.46,64.56,134.67,107.95,461.29,176.83,121.87,347.72
40.0,177.89,82.68,244.78,64.23,134.86,107.93,461.56,177.16,121.41,347.26
40.5,177.88,82.37,245.1,63.91,135.05,107.91,461.84,177.5,120.95,346.8
41.0,177.87,82.05,245.42,63.58,135.25,107.9,462.12,177.83,120.5,346.34
41.5,177.86,81.73,245.74,63.25,135.44,107.88,462.39,178.17,120.04,345.88
42.0,177.85,81.42,246.06,62.93,135.64,107.86,462.67,178.5,119.58,345.41
42.5,177.85,81.1,246.38,62.6,135.83,107.85,462.95,178.84,119.12,344.95
